Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTKM25PRV16-Split-0-75-White/dp/B00PASQKGK/ref=sr_1_869/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-869
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5MP3M-Inverter-Rating-Aluminium/dp/B00LFA5DOW/ref=sr_1_1082/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1082
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5VP5M-Inverter-Rating-Aluminium/dp/B00LFA59SC/ref=sr_1_1087/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1087
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Midea-MS11D1-12CR-MOB2-12C-Rating-Copper/dp/B00LSJS9LE/ref=sr_1_1029/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1029
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5MP2M-Inverter-Rating-Aluminium/dp/B00LFA5D38/ref=sr_1_1083/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1083
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5TM5M-Inverter-Rating-Aluminium/dp/B00LFA4UP0/ref=sr_1_1090/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1090
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3MP2M-Inverter-Rating-Aluminium/dp/B00LFA5BIA/ref=sr_1_1086/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1086
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3MP5M-Inverter-Rating-Aluminium/dp/B00LFA5CM0/ref=sr_1_1084/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1084
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5TM2M-Inverter-Rating-Aluminium/dp/B00LFA4U82/ref=sr_1_1091/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1091
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Whirlpool-Fantasia-Inverter-Ton-White/dp/B00FA2OLPI/ref=sr_1_1104/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1104
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC2TFUR-Split-Rating-Aluminium/dp/B00JUPCMUM/ref=sr_1_1098_m/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1098
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5TM3M-Inverter-Rating-Aluminium/dp/B00JR5JPTQ/ref=sr_1_1101/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1101
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC5USUQ-Split-Rating-Aluminium/dp/B00JUPCK0Y/ref=sr_1_1099/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1099
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/IFB-IACS18AK2TC-Split-Rating-Copper/dp/B00LA418YC/ref=sr_1_1096/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1096
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Whirlpool-Magicool-Classic-II-Rating/dp/B00J5GS4LW/ref=sr_1_1102/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1102
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR12HC5TFUR-Split-Rating-Aluminium/dp/B00JUPCDYW/ref=sr_1_1100_m/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1100
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA24ARMH-Split-White-Copper/dp/B00FB9N0FC/ref=sr_1_1103/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1103
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC3USNB-Split-Rating-Aluminium/dp/B00LSJYRX8/ref=sr_1_1020/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1020
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3TM2M-Inverter-Rating-Aluminium/dp/B00LFA4S2A/ref=sr_1_1094/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1094
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/IFB-IACS24AK2TC-Split-Rating-Copper/dp/B00LA41BWG/ref=sr_1_1095/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1095
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Voltas-Magna-123-MYE-Rating/dp/B00LSJZATS/ref=sr_1_1014/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1014
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTXS60FVMA-Split-1-8-White/dp/B00PASQA6U/ref=sr_1_871/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-871
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA6TM2M-Inverter-Rating-Aluminium/dp/B00LFA4V7M/ref=sr_1_1089/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1089
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC2TFUR-Split-Rating-Aluminium/dp/B00JUPCMUM/ref=sr_1_1098/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1098
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA6TM3M-Inverter-Rating-Aluminium/dp/B00LFA4VR2/ref=sr_1_1088/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1088
,1018 Liters,37 dB,,,,,,,,B00LA41522," 27,821.00",IFB,"IFB IACS12AK2TC Split AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,,"31,590.00",Remote Control,IACS12AK2TC,#713,"#6,49,392",White,1140 Watts,Split,,230 Volts,http://www.amazon.in/IFB-IACS12AK2TC-Split-Rating-Copper/dp/B00LA41522/ref=sr_1_1097/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1097
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3TM3M-Inverter-Rating-Aluminium/dp/B00LFA4T7Y/ref=sr_1_1093/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1093
,1.5 tons,44 dB,Fast Cooling and Low noise! :),,,,,,,B00OTDLWII,,Haier,"Haier HSU-19CXAS5N Jet Series Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",1 review,5 Star Rating,,,,HSU-19CXAS5N,#444,"#4,16,159",White,1440 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Haier-HSU-19CXAS5N-Split-Rating-Aluminium/dp/B00OTDLWII/ref=sr_1_887/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-887
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3MP3M-Inverter-Rating-Aluminium/dp/B00LFA5C34/ref=sr_1_1085/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1085
,1.5 tons,44 dB,,,,,,,,B00LSJZSWW," 46,090.00",Voltas,"Voltas Magna 185 MY Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,MAGNA 185 MY,,Remote Control,Magna 185 MY,,,White,1438 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-Magna-185-MY-Aluminium/dp/B00LSJZSWW/ref=sr_1_1010/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1010
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR12HC5TFUR-Split-Rating-Aluminium/dp/B00JUPCDYW/ref=sr_1_1100/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1100
Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,42 dB,"Never buy Videocon products!!!!, their after sell service s***ks...they have appointed some third class companies for electronic product after sell service....I have just wasted my hard earned 27k by buying Videocon AC....11 months 3 repairs and still giving problems...I wanted to register 4th complaint before 1 year warranty period but these people made me wait and called me back after warranty period got over...and now asking money for repair..worst electronic product company in India. ...go for Blue star or voltas!!!",,,,,,,B00NM9R9BO," 28,990.00",Videocon,"Videocon VSZ33.WV1-MDA Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",1 review,3 Star Rating,14000026188,,Remote Control,VSZ33.WV1-MDA,#585,"#5,65,523",White,1070 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Videocon-VSZ33-WV1-MDA-Split-Rating-White/dp/B00NM9R9BO/ref=sr_1_934/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-934
,1.5 tons,35 dB,"Never buy Videocon products!!!!, their after sell service s***ks...they have appointed some third class companies for electronic product after sell service....I have just wasted my hard earned 27k by buying Videocon AC....11 months 3 repairs and still giving problems...I wanted register 4th complaint before 1 year warranty period but these people made me wait and called me back after warranty period got over...and now asking money for repair..worst electronic product company in India...091116 - compressor stopped working after 1.5 year.Cost of repairing 3k. I bought this piece of crap from this worst AC manufacturing company of INDIA for 27,000 and last 1 .5 years I spent 14k on repairing. So suggest you think twice before buying AC from this company.",,,,,,,B00NM9S936," 28,100.00",Videocon,"Videocon VSZ53.RV1-MDA Split AC (1.5 Ton, 3 Star Rating, Maroon): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,,Remote Control,VSZ53.RV1-MDA,#603,"#5,85,239",Maroon,1680 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Videocon-VSZ53-RV1-MDA-Split-Rating-Maroon/dp/B00NM9S936/ref=sr_1_933/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-933
,1.5 tons,48 dB,,,,,,,,B00NWG7YVW," 36,700.00",Blue Star,"Blue Star 3HW18JBR1 Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,3HW18JBR1,,,3HW18JBR1,,,White,1580 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-3HW18JBR1-Rating-Aluminium/dp/B00NWG7YVW/ref=sr_1_913/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-913
,1.5 tons,35 dB,,,,,,,,B00NM9PZ6K," 37,490.00",Videocon,"Videocon VSD55.RV1-MDA Split AC (1.5 Ton, 5 Star Rating, Red): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,VSD55.RV1-MDA,,,Red,1460 Watts,Split,,230 Volts,http://www.amazon.in/Videocon-VSD55-RV1-MDA-Split-Star-Rating/dp/B00NM9PZ6K/ref=sr_1_935/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-935
,1 tons,,,,,,,,,B00NPRHF76,,Samsung,"Samsung AR12HC3USUQ Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,AR12HC3USUQ,,,White,,Split,,,http://www.amazon.in/Samsung-AR12HC3USUQ-Split-Rating-Aluminium/dp/B00NPRHF76/ref=sr_1_927/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-927
,2 tons,,,,,,,,,B00NPOK2I8," 52,849.00",Panasonic,"Panasonic IDU KC24RKY Split AC (2 Ton, 4 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,4 Star Rating,,,Remote Control,IDU 2.0T KC24RKY,,,White,,Split,,230 Volts,http://www.amazon.in/Panasonic-IDU-KC24RKY-Rating-Copper/dp/B00NPOK2I8/ref=sr_1_928/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-928
,1.5 tons,,,,,,,,,B00NPRI354,,Samsung,"Samsung AR18HC2USUQ Split AC (1.5 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,AR18HC2USUQ,,Remote Control,Amazon/Seller Fulfilled,#737,"#6,52,262",White,,Split,,230 Volts,http://www.amazon.in/Samsung-AR18HC2USUQ-Split-Rating-Aluminium/dp/B00NPRI354/ref=sr_1_924/254-9820799-0667649?ie=UTF8&qid=1485080812&s=kitchen&sr=1-924
