Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,37 dB,,,,,,,,B01INH9AKW," 28,500.00",Samsung,"Samsung AR12HC3ESLW Split AC (1 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR12HC3ESLW,,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR12HC3ESLW-Rating-Maroon-Aluminium/dp/B01INH9AKW/ref=sr_1_436/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-436
,1 tons,40 dB,,,,,,,,B01INH9D0O," 36,600.00",Samsung,"Samsung AR12HC5TDUR Split AC (1 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HC5TDUR,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR12HC5TDUR-Split-Rating-White/dp/B01INH9D0O/ref=sr_1_435/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-435
,1 tons,40 dB,,,,,,,,B01INH9FXY," 30,900.00",Samsung,"Samsung AR12HC5UCNB Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HC5UCNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR12HC5UCNB-Split-Rating-Aluminium/dp/B01INH9FXY/ref=sr_1_433/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-433
,1 tons,40 dB,,,,,,,,B01INH9D3G," 37,900.00",Samsung,"Samsung AR12HC5ECLZ Split AC (1 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HC5ECLZ,,Remote Control,Brand Fulfilled,#675,"#6,40,189",Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR12HC5ECLZ-Split-Star-Rating/dp/B01INH9D3G/ref=sr_1_434/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-434
,1.5 tons,41 dB,,,,,,,,B01INHA9J8," 34,100.00",Samsung,"Samsung AR18FC3TAUR Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18FC3TAUR,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18FC3TAUR-Split-Rating-White/dp/B01INHA9J8/ref=sr_1_408/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-408
,1.5 tons,41 dB,,,,,,,,B01INHA9J8," 34,100.00",Samsung,"Samsung AR18FC3TAUR Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18FC3TAUR,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18FC3TAUR-Split-Rating-White/dp/B01INHA9J8/ref=sr_1_408_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-408
,1 tons,37 dB,,,,,,,,B01INH9AKW," 28,500.00",Samsung,"Samsung AR12HC3ESLW Split AC (1 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR12HC3ESLW,,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR12HC3ESLW-Rating-Maroon-Aluminium/dp/B01INH9AKW/ref=sr_1_436_m/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-436
,,,,,,,,,,," 29,575.00",,"Samsung AR12KC3HBWK Split AC (1 Ton, 3 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen",,,,"34,100.00",,,,,,,,,,http://www.amazon.in/Samsung-AR12KC3HBWK-Split-Rating-Aluminium/dp/B01INH9YGM/ref=sr_1_422/254-8295230-0627740?ie=UTF8&qid=1485080007&s=kitchen&sr=1-422
,1.5 tons,43 dB,,,,,,,,B01INHADD0," 38,400.00",Samsung,"Samsung AR18HC3EXLW Split AC (1.5 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3EXLW,,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR18HC3EXLW-Rating-Maroon-Aluminium/dp/B01INHADD0/ref=sr_1_406_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-406
,1 tons,40 dB,,,,,,,,B01INH9D3G," 37,900.00",Samsung,"Samsung AR12HC5ECLZ Split AC (1 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HC5ECLZ,,Remote Control,Brand Fulfilled,#675,"#6,40,189",Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR12HC5ECLZ-Split-Star-Rating/dp/B01INH9D3G/ref=sr_1_434_m/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-434
,1.5 tons,43 dB,,,,,,,,B01INHADAI," 37,100.00",Samsung,"Samsung AR18HC3TXNC Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3TXNC,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TXNC-Split-Rating-White/dp/B01INHADAI/ref=sr_1_407/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-407
,1.5 tons,,,,,,,,,B01CY2QC9Y," 41,400.00",Blue Star,"Blue Star BI-5HW18ZARTU Split AC (1.5 Ton, 3.52 Star Rating, Wine Red, Copper): Amazon.in: Home & Kitchen",,4 Star Rating,,,Remote Control,BI-5HW18ZARTU,,,Wine Red,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW18ZARTU-Rating-Copper/dp/B01CY2QC9Y/ref=sr_1_448/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-448
,1.5 tons,43 dB,,,,,,,,B01INHADLC," 31,700.00",Samsung,"Samsung AR18HC2UXNB Split AC (1.5 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,2 Star Rating,AR18HC2UXNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC2UXNB-Split-Rating-White/dp/B01INHADLC/ref=sr_1_404_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-404
,1.5 tons,43 dB,,,,,,,,B01INHADLC," 31,700.00",Samsung,"Samsung AR18HC2UXNB Split AC (1.5 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,2 Star Rating,AR18HC2UXNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC2UXNB-Split-Rating-White/dp/B01INHADLC/ref=sr_1_404/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-404
,1.5 tons,,,,,,,,,B01INHAGWS," 33,100.00",Samsung,"Samsung AR18HC3USUQ Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3USUQ,,Remote Control,Brand Fulfilled,,,White,1730 Watts,Split,,,http://www.amazon.in/Samsung-AR18HC3USUQ-Split-Rating-White/dp/B01INHAGWS/ref=sr_1_403_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-403
,1.5 tons,43 dB,,,,,,,,B01INHADD0," 38,400.00",Samsung,"Samsung AR18HC3EXLW Split AC (1.5 Ton, 3 Star Rating, Maroon and Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3EXLW,,Remote Control,Brand Fulfilled,,,Maroon and Wine,,Split,,,http://www.amazon.in/Samsung-AR18HC3EXLW-Rating-Maroon-Aluminium/dp/B01INHADD0/ref=sr_1_406/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-406
,1 tons,40 dB,,,,,,,,B01INH9FXY," 30,900.00",Samsung,"Samsung AR12HC5UCNB Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HC5UCNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR12HC5UCNB-Split-Rating-Aluminium/dp/B01INH9FXY/ref=sr_1_433_m/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-433
,1.5 tons,43 dB,,,,,,,,B01INHADL2," 36,200.00",Samsung,"Samsung AR18HC3TYUR Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3TYUR,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TYUR-Split-Rating-Aluminium/dp/B01INHADL2/ref=sr_1_405_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-405
,1 tons,40 dB,,,,,,,,B01INH9OEO," 35,490.00",Samsung,"Samsung AR12JC5ESLZ Split AC (1 Ton, 5 Star Rating, Ocean Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR12JC5ESLZ,"40,100.00",Remote Control,Brand Fulfilled,,,Ocean Blue,1010 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR12JC5ESLZ-Split-Rating-Ocean/dp/B01INH9OEO/ref=sr_1_427/254-8295230-0627740?ie=UTF8&qid=1485080007&s=kitchen&sr=1-427
,1.5 tons,43 dB,,,,,,,,B01INHAH40," 36,300.00",Samsung,"Samsung AR18HC3UXNB Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3UXNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3UXNB-Split-Rating-White/dp/B01INHAH40/ref=sr_1_401_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-401
,1 tons,35 dB,,,,,,,,B01INH97W8," 35,600.00",Samsung,"Samsung AR12FC5EFBH Split AC (1 Ton, 5 Star Rating, Black): Amazon.in: Home & Kitchen",,5 Star Rating,AR12FC5EFBH,,Remote Control,Brand Fulfilled,,,Black,,Split,,,http://www.amazon.in/Samsung-AR12FC5EFBH-Split-Rating-Black/dp/B01INH97W8/ref=sr_1_439/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-439
,1.5 tons,43 dB,I am using samsung split ac inverter type I got best performance over all.,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",I am using 1 ton version of this model. It totally noise free and works great in cool mode. You feel like central ac.,,,,,B01INHALAU," 47,600.00",Samsung,"Samsung AR18HV5NFWK Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,AR18HV5NFWK,,Remote Control,Brand Fulfilled,,,White,,Split,3.3 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5NFWK-Split-Rating-Aluminium/dp/B01INHALAU/ref=sr_1_399/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-399
,1.5 tons,43 dB,,,,,,,,B01INHAH3G," 43,600.00",Samsung,"Samsung AR18HC5EXLZ Split AC (1.5 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18HC5EXLZ,,Remote Control,Brand Fulfilled,,,Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR18HC5EXLZ-Split-Star-Rating/dp/B01INHAH3G/ref=sr_1_402/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-402
,1.5 tons,43 dB,I am using samsung split ac inverter type I got best performance over all.,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",I am using 1 ton version of this model. It totally noise free and works great in cool mode. You feel like central ac.,,,,,B01INHALAU," 47,600.00",Samsung,"Samsung AR18HV5NFWK Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,AR18HV5NFWK,,Remote Control,Brand Fulfilled,,,White,,Split,3.3 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5NFWK-Split-Rating-Aluminium/dp/B01INHALAU/ref=sr_1_399_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-399
,1.5 tons,43 dB,,,,,,,,B01INHAH3G," 43,600.00",Samsung,"Samsung AR18HC5EXLZ Split AC (1.5 Ton, 5 Star Rating, Navy Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18HC5EXLZ,,Remote Control,Brand Fulfilled,,,Navy Blue,,Split,,,http://www.amazon.in/Samsung-AR18HC5EXLZ-Split-Star-Rating/dp/B01INHAH3G/ref=sr_1_402_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-402
,1.5 tons,41 dB,,,,,,,,B01INHALAK," 60,700.00",Samsung,"Samsung AR18HV5DAWK Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",1 review,5 Star Rating,AR18HV5DAWK,,Remote Control,Brand Fulfilled,,,White,1310 Watts,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5DAWK-Split-Rating-White/dp/B01INHALAK/ref=sr_1_400_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-400
,1.5 tons,43 dB,,,,,,,,B01INHAH40," 36,300.00",Samsung,"Samsung AR18HC3UXNB Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3UXNB,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3UXNB-Split-Rating-White/dp/B01INHAH40/ref=sr_1_401/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-401
,1.5 tons,,,,,,,,,B01INHAUS8," 43,100.00",Samsung,"Samsung AR18JC5ECLZ Split AC (1.5 Ton, 5 Star Rating, New Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5ECLZ,,Remote Control,Brand Fulfilled,,,New Blue,,Split,,,http://www.amazon.in/Samsung-AR18JC5ECLZ-Split-Star-Rating/dp/B01INHAUS8/ref=sr_1_394/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-394
,1.5 tons,43 dB,,,,,,,,B01INHAPJ2," 28,200.00",Samsung,"Samsung AR18JC2UFUQ Split AC (1.5 Ton, 2 Star Rating, Blue Strip, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,AR18JC2UFUQ,,Remote Control,Brand Fulfilled,,,Blue Strip,,Split,,,http://www.amazon.in/Samsung-AR18JC2UFUQ-Split-Rating-Copper/dp/B01INHAPJ2/ref=sr_1_398_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-398
,1.5 tons,44 dB,"PLEASE DO NOT buy any Samsung products ( online or from store) because Samsung- won't honor the warranty and consumer rights,- would ask for unwarranted charges,- won't provide any service and- makes you suffer by not responding to any of your calls or emails.It is pure mental agony and waste of time with this company's products for which we pay our hard-earned money.PS: If there was a way to rate it with '0' stars, that's what the company deserves.","Best ac now a days but reliability is very less on online shopping for ac's. I've got this ac from local at 34.5k with extra guddies like free stabilizer,installation,stand...","Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,Good,,,B01INHAQ9G," 37,700.00",Samsung,"Samsung AR18JC3HATP Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,AR18JC3HATP,,Remote Control,Brand Fulfilled,,,White,1560 Watts,Split,1.8 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JC3HATP-Split-Rating-Aluminium/dp/B01INHAQ9G/ref=sr_1_396/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-396
,1.5 tons,44 dB,,,,,,,,B01INHAQFK," 38,200.00",Samsung,"Samsung AR18JC3ESLW Split AC (1.5 Ton, 3 Star Rating, Maroon, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18JC3ESLW,,Remote Control,Brand Fulfilled,,,Maroon,1560 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC3ESLW-Rating-Maroon-Aluminium/dp/B01INHAQFK/ref=sr_1_395_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-395
,1.5 tons,43 dB,,,,,,,,B01INHAPJ2," 28,200.00",Samsung,"Samsung AR18JC2UFUQ Split AC (1.5 Ton, 2 Star Rating, Blue Strip, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,AR18JC2UFUQ,,Remote Control,Brand Fulfilled,,,Blue Strip,,Split,,,http://www.amazon.in/Samsung-AR18JC2UFUQ-Split-Rating-Copper/dp/B01INHAPJ2/ref=sr_1_398/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-398
,1.5 tons,44 dB,,,,,,,,B01INHAQ2I," 38,600.00",Samsung,"Samsung AR18JC3JBMV Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18JC3JBMV,,Remote Control,Brand Fulfilled,,,White,1560 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC3JBMV-Split-Rating-White/dp/B01INHAQ2I/ref=sr_1_397/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-397
,1.5 tons,41 dB,,,,,,,,B01INHALAK," 60,700.00",Samsung,"Samsung AR18HV5DAWK Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",1 review,5 Star Rating,AR18HV5DAWK,,Remote Control,Brand Fulfilled,,,White,1310 Watts,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18HV5DAWK-Split-Rating-White/dp/B01INHALAK/ref=sr_1_400/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-400
,1.5 tons,44 dB,,,,,,,,B01INHAQ2I," 38,600.00",Samsung,"Samsung AR18JC3JBMV Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18JC3JBMV,,Remote Control,Brand Fulfilled,,,White,1560 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC3JBMV-Split-Rating-White/dp/B01INHAQ2I/ref=sr_1_397_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-397
,1.5 tons,44 dB,,,,,,,,B01INHAV8W," 45,900.00",Samsung,"Samsung AR18JC5ESLZ Split AC (1.5 Ton, 5 Star Rating, Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5ESLZ,,Remote Control,Brand Fulfilled,,,Blue,1495 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC5ESLZ-Split-Star-Rating/dp/B01INHAV8W/ref=sr_1_392_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-392
,1.5 tons,,,,,,,,,B01INHAZTM," 45,200.00",Samsung,"Samsung AR18JC5HCTP Split AC (1.5 Ton, 5 Star Rating, Lily Grey): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5HCTP,,Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18JC5HCTP-Split-Star-Rating/dp/B01INHAZTM/ref=sr_1_390_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-390
,1.5 tons,,,,,,,,,B01INHAUS8," 43,100.00",Samsung,"Samsung AR18JC5ECLZ Split AC (1.5 Ton, 5 Star Rating, New Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5ECLZ,,Remote Control,Brand Fulfilled,,,New Blue,,Split,,,http://www.amazon.in/Samsung-AR18JC5ECLZ-Split-Star-Rating/dp/B01INHAUS8/ref=sr_1_394_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-394
,1.5 tons,44 dB,,,,,,,,B01INHAV8W," 45,900.00",Samsung,"Samsung AR18JC5ESLZ Split AC (1.5 Ton, 5 Star Rating, Blue): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5ESLZ,,Remote Control,Brand Fulfilled,,,Blue,1495 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC5ESLZ-Split-Star-Rating/dp/B01INHAV8W/ref=sr_1_392/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-392
,1.5 tons,43 dB,,,,,,,,B01INHAZYC," 41,000.00",Samsung,"Samsung AR18JC5JCMV Split AC (1.5 Ton, 5 Star Rating, Morning Glory Violet): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5JCMV,,Remote Control,Brand Fulfilled,,,Morning Glory Violet,,Split,,,http://www.amazon.in/Samsung-AR18JC5JCMV-Rating-Morning-Violet/dp/B01INHAZYC/ref=sr_1_388/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-388
,1.5 tons,43 dB,,,,,,,,B01INHAVB4," 33,306.00",Samsung,"Samsung AR18JC3UFUQ Split AC (1.5 Ton, 3 Star Rating, Blue Strip, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,AR18JC3UFUQ,"38,400.00",Remote Control,Brand Fulfilled,,,Blue Strip,,Split,,,http://www.amazon.in/Samsung-AR18JC3UFUQ-Split-Rating-Copper/dp/B01INHAVB4/ref=sr_1_391/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-391
,1.5 tons,,,,,,,,,B01INHAZTM," 45,200.00",Samsung,"Samsung AR18JC5HCTP Split AC (1.5 Ton, 5 Star Rating, Lily Grey): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5HCTP,,Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18JC5HCTP-Split-Star-Rating/dp/B01INHAZTM/ref=sr_1_390/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-390
,1.5 tons,,,,,,,,,B01INHB438," 42,400.00",Samsung,"Samsung AR18JC5TCUR Split AC (1.5 Ton, 5 Star Rating, Sanganeri): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5TCUR,,Remote Control,Brand Fulfilled,,,Sanganeri,,Split,,,http://www.amazon.in/Samsung-AR18JC5TCUR-Split-Rating-Sanganeri/dp/B01INHB438/ref=sr_1_386/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-386
,1.5 tons,43 dB,,,,,,,,B01INHAZYC," 41,000.00",Samsung,"Samsung AR18JC5JCMV Split AC (1.5 Ton, 5 Star Rating, Morning Glory Violet): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5JCMV,,Remote Control,Brand Fulfilled,,,Morning Glory Violet,,Split,,,http://www.amazon.in/Samsung-AR18JC5JCMV-Rating-Morning-Violet/dp/B01INHAZYC/ref=sr_1_388_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-388
,1 tons,35 dB,,,,,,,,B01CGCJETW," 35,390.00",LG,"LG L-Pearl Terminator LSA3PT3D Split Air Conditioner (1 Ton, 3 Star Rating, White Pearl): Amazon.in: Home & Kitchen",,3 Star Rating,LSA3PT3D,,Remote Control,LSA3PT3D,,,White Pearl,1070 Watts,Split,,230 Volts,http://www.amazon.in/LG-L-Pearl-Terminator-LSA3PT3D-Conditioner/dp/B01CGCJETW/ref=sr_1_452/255-1904269-2261837?ie=UTF8&qid=1485080007&s=kitchen&sr=1-452
,1 tons,48 dB,,,,,,,,B01INHA4OI," 37,947.00",Samsung,"Samsung AR12KV5HATQ Split AC (1 Ton, 5 Star Rating, Lily Blue, Aluminium): Amazon.in: Home & Kitchen",,5 Star Rating,AR12KV5HATQ,"43,800.00",Remote Control,Brand Fulfilled,,,Lily Blue,,Split,,,http://www.amazon.in/Samsung-AR12KV5HATQ-Split-Rating-Aluminium/dp/B01INHA4OI/ref=sr_1_415_m/254-8295230-0627740?ie=UTF8&qid=1485080007&s=kitchen&sr=1-415
,1.5 tons,41 dB,"Reduced 2 stars for minor manufacturing/design defect and service guys skill level and unprofessional.After 6 months of usage, the throw drastically reduced and water drips from indoor unit, the service guy opened and found the fan drum and drain tray completely chocked with dust and he clean it. But this is not normal, so I suspected the issue must be with the filter and found that it doesn't seal properly and he acknowledge that, but he said this should be informed within 1 month of purchase for warranty.Illogical Policy: The unit causes trouble after few months of usage which leads to the finding of filter issue, how do I know this in advance within 1 month to claim warranty.My Service Experience: The service guy struggled 2 hours to disassemble, but cleaned easily and struggled to assemble and gave up, he called for help and another guy came, he handled bit harsh on the plastics, but he succeeded assembling it and but unit doesn't power up. he again disassembled and started complaining about a connector which is loose, the other guy said the unit is under warranty, he stopped complaining and fixed it. I said the connector must be damaged while disassembling, might cause issues later, but he refused. Finally after they left I saw a decorative screw cap damaged.Service guys are using their customers unit to get trained.",Best ac Samsung is good brand,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,B01INHB53W," 61,700.00",Samsung,"Samsung AR18JV5DAWK Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",3 reviews,5 Star Rating,AR18JV5DAWK,,Remote Control,Brand Fulfilled,,,White,1310 Watts,Split,3.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR18JV5DAWK-Split-Rating-White/dp/B01INHB53W/ref=sr_1_385_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-385
,1.5 tons,43 dB,,,,,,,,B01INHADAI," 37,100.00",Samsung,"Samsung AR18HC3TXNC Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,AR18HC3TXNC,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TXNC-Split-Rating-White/dp/B01INHADAI/ref=sr_1_407_m/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-407
,1.5 tons,44 dB,,,,,,,,B01INHB0OG," 41,000.00",Samsung,"Samsung AR18JC5JAMV Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,AR18JC5JAMV,,Remote Control,Brand Fulfilled,,,White,1495 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC5JAMV-Split-Rating-White/dp/B01INHB0OG/ref=sr_1_387/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-387
,1.5 tons,44 dB,,,,,,,,B01INHAQFK," 38,200.00",Samsung,"Samsung AR18JC3ESLW Split AC (1.5 Ton, 3 Star Rating, Maroon, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18JC3ESLW,,Remote Control,Brand Fulfilled,,,Maroon,1560 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR18JC3ESLW-Rating-Maroon-Aluminium/dp/B01INHAQFK/ref=sr_1_395/253-5912095-2886156?ie=UTF8&qid=1485080007&s=kitchen&sr=1-395
